date,campaign_id,product_id,channel,spend,attributed_gmv,clicks
2026-04-17,AD-P001,P001,搜索,107.66,278.69,472
2026-04-17,AD-P002,P002,内容种草,151.17,392.02,463
2026-04-17,AD-P003,P003,内容种草,179.32,403.21,261
2026-04-17,AD-P004,P004,搜索,162.48,357.97,385
2026-04-17,AD-P005,P005,搜索,217.58,589.45,360
2026-04-17,AD-P006,P006,信息流,216.0,427.67,304
2026-04-17,AD-P007,P007,搜索,233.75,644.07,206
2026-04-17,AD-P008,P008,信息流,272.0,467.37,245
2026-04-18,AD-P001,P001,搜索,133.52,256.96,405
2026-04-18,AD-P002,P002,内容种草,150.9,326.09,643
2026-04-18,AD-P003,P003,内容种草,185.68,421.54,422
2026-04-18,AD-P004,P004,内容种草,171.65,506.38,545
2026-04-18,AD-P005,P005,搜索,182.61,475.44,279
2026-04-18,AD-P006,P006,内容种草,216.62,457.22,226
2026-04-18,AD-P007,P007,搜索,241.23,591.33,314
2026-04-18,AD-P008,P008,信息流,242.98,698.69,264
2026-04-19,AD-P001,P001,搜索,121.57,363.81,775
2026-04-19,AD-P002,P002,搜索,142.84,384.26,375
2026-04-19,AD-P003,P003,信息流,141.02,317.49,474
2026-04-19,AD-P004,P004,内容种草,193.51,404.89,364
2026-04-19,AD-P005,P005,搜索,215.86,451.98,342
2026-04-19,AD-P006,P006,信息流,223.69,433.97,274
2026-04-19,AD-P007,P007,搜索,221.85,620.0,323
2026-04-19,AD-P008,P008,信息流,262.55,699.93,168
2026-04-20,AD-P001,P001,内容种草,134.48,287.4,274
2026-04-20,AD-P002,P002,内容种草,138.76,418.46,392
2026-04-20,AD-P003,P003,信息流,173.66,534.12,451
2026-04-20,AD-P004,P004,搜索,203.51,572.45,307
2026-04-20,AD-P005,P005,信息流,196.34,441.11,376
2026-04-20,AD-P006,P006,信息流,239.75,723.96,255
2026-04-20,AD-P007,P007,信息流,248.31,504.66,240
2026-04-20,AD-P008,P008,信息流,246.92,648.46,308
2026-04-21,AD-P001,P001,内容种草,117.15,248.6,564
2026-04-21,AD-P002,P002,搜索,122.75,320.6,365
2026-04-21,AD-P003,P003,信息流,162.48,489.08,315
2026-04-21,AD-P004,P004,搜索,180.16,497.58,359
2026-04-21,AD-P005,P005,内容种草,206.14,611.63,158
2026-04-21,AD-P006,P006,搜索,225.21,615.73,242
2026-04-21,AD-P007,P007,信息流,231.75,685.97,195
2026-04-21,AD-P008,P008,内容种草,252.64,557.43,209
2026-04-22,AD-P001,P001,信息流,115.51,321.35,391
2026-04-22,AD-P002,P002,信息流,130.96,267.6,264
2026-04-22,AD-P003,P003,信息流,177.93,384.44,340
2026-04-22,AD-P004,P004,信息流,157.8,325.48,579
2026-04-22,AD-P005,P005,信息流,174.15,354.41,256
2026-04-22,AD-P006,P006,信息流,193.11,505.89,343
2026-04-22,AD-P007,P007,搜索,209.34,606.49,174
