campaign_id,date,product_id,campaign_type,discount_cost,attributed_gmv,baseline_gmv
CMP-20260422,2026-04-22,P001,周末增长,432.52,7208.72,6793.01
CMP-20260422,2026-04-22,P002,周末增长,601.4,10023.27,8674.25
CMP-20260422,2026-04-22,P003,周末增长,214.81,3580.17,2958.41
CMP-20260422,2026-04-22,P004,周末增长,170.77,2846.13,2508.41
CMP-20260422,2026-04-22,P005,周末增长,94.25,1570.76,1331.07
CMP-20260422,2026-04-22,P006,周末增长,70.39,1173.19,1032.34
CMP-20260422,2026-04-22,P007,周末增长,173.02,2883.7,2531.91
CMP-20260422,2026-04-22,P008,周末增长,213.34,3555.71,3342.19
CMP-20260423,2026-04-23,P001,周末增长,447.1,7451.65,7085.9
CMP-20260423,2026-04-23,P002,周末增长,706.95,11782.5,10977.77
CMP-20260423,2026-04-23,P003,周末增长,201.91,3365.15,2851.54
CMP-20260423,2026-04-23,P004,周末增长,179.54,2992.29,2708.55
CMP-20260423,2026-04-23,P005,周末增长,90.59,1509.87,1341.82
CMP-20260423,2026-04-23,P006,周末增长,67.45,1124.15,1026.7
CMP-20260423,2026-04-23,P007,周末增长,180.83,3013.82,2587.75
CMP-20260423,2026-04-23,P008,周末增长,284.74,4745.73,3988.64
CMP-20260506,2026-05-06,P001,周末增长,432.67,7211.19,6002.71
CMP-20260506,2026-05-06,P002,周末增长,549.58,9159.61,7750.83
CMP-20260506,2026-05-06,P003,周末增长,203.98,3399.61,2905.32
CMP-20260506,2026-05-06,P004,周末增长,193.63,3227.12,2673.81
CMP-20260506,2026-05-06,P005,周末增长,111.86,1864.27,1715.17
CMP-20260506,2026-05-06,P006,周末增长,73.29,1221.55,1072.76
CMP-20260506,2026-05-06,P007,周末增长,192.74,3212.41,2934.61
CMP-20260506,2026-05-06,P008,周末增长,181.22,3020.39,2770.0
CMP-20260507,2026-05-07,P001,周末增长,367.51,6125.12,5178.44
CMP-20260507,2026-05-07,P002,周末增长,624.1,10401.59,9156.62
CMP-20260507,2026-05-07,P003,周末增长,240.47,4007.88,3783.53
CMP-20260507,2026-05-07,P004,周末增长,128.73,2145.42,1982.56
CMP-20260507,2026-05-07,P005,周末增长,82.06,1367.64,1275.91
CMP-20260507,2026-05-07,P006,周末增长,74.64,1243.95,1164.52
CMP-20260507,2026-05-07,P007,周末增长,188.33,3138.82,2745.15
CMP-20260507,2026-05-07,P008,周末增长,177.92,2965.4,2769.54
CMP-20260520,2026-05-20,P001,周末增长,381.95,6365.79,5812.47
CMP-20260520,2026-05-20,P002,周末增长,633.31,10555.11,9528.82
CMP-20260520,2026-05-20,P003,周末增长,240.48,4008.06,3323.37
CMP-20260520,2026-05-20,P004,周末增长,157.48,2624.75,2182.26
CMP-20260520,2026-05-20,P005,周末增长,103.19,1719.9,1472.76
CMP-20260520,2026-05-20,P006,周末增长,60.11,1001.89,860.76
CMP-20260520,2026-05-20,P007,周末增长,171.88,2864.71,2650.16
CMP-20260520,2026-05-20,P008,周末增长,207.05,3450.87,3010.87
CMP-20260521,2026-05-21,P001,周末增长,465.0,7749.93,6397.96
CMP-20260521,2026-05-21,P002,周末增长,634.74,10578.97,9054.67
CMP-20260521,2026-05-21,P003,周末增长,207.79,3463.25,3001.86
CMP-20260521,2026-05-21,P004,周末增长,180.37,3006.17,2691.12
CMP-20260521,2026-05-21,P005,周末增长,105.23,1753.78,1547.49
CMP-20260521,2026-05-21,P006,周末增长,74.34,1239.05,1024.72
CMP-20260521,2026-05-21,P007,周末增长,184.46,3074.3,2561.32
CMP-20260521,2026-05-21,P008,周末增长,282.35,4705.88,4043.84
CMP-20260603,2026-06-03,P001,周末增长,500.64,8343.94,7611.4
CMP-20260603,2026-06-03,P002,周末增长,631.34,10522.41,9822.61
CMP-20260603,2026-06-03,P003,周末增长,235.31,3921.85,3728.6
CMP-20260603,2026-06-03,P004,周末增长,199.38,3322.96,2890.71
CMP-20260603,2026-06-03,P005,周末增长,90.15,1502.49,1414.94
CMP-20260603,2026-06-03,P006,周末增长,64.29,1071.45,911.44
CMP-20260603,2026-06-03,P007,周末增长,231.4,3856.69,3565.07
CMP-20260603,2026-06-03,P008,周末增长,231.99,3866.45,3243.15
CMP-20260604,2026-06-04,P001,周末增长,475.57,7926.23,6615.57
CMP-20260604,2026-06-04,P002,周末增长,574.27,9571.19,8650.61
CMP-20260604,2026-06-04,P003,周末增长,205.89,3431.54,3246.66
CMP-20260604,2026-06-04,P004,周末增长,164.72,2745.36,2297.38
CMP-20260604,2026-06-04,P005,周末增长,103.77,1729.49,1465.18
CMP-20260604,2026-06-04,P006,周末增长,90.36,1505.92,1238.41
CMP-20260604,2026-06-04,P007,周末增长,193.75,3229.16,3034.81
CMP-20260604,2026-06-04,P008,周末增长,222.23,3703.76,3452.74
CMP-20260617,2026-06-17,P001,周末增长,414.17,6902.83,5940.17
CMP-20260617,2026-06-17,P002,周末增长,705.24,11753.95,10794.28
CMP-20260617,2026-06-17,P003,周末增长,230.02,3833.71,3382.98
CMP-20260617,2026-06-17,P004,周末增长,199.69,3328.23,2973.93
CMP-20260617,2026-06-17,P005,周末增长,107.94,1798.99,1560.07
CMP-20260617,2026-06-17,P006,周末增长,65.88,1098.03,1041.6
CMP-20260617,2026-06-17,P007,周末增长,168.62,2810.35,2498.89
