date,product_id,competitor_price,competitor_promo
2026-04-17,P001,179.99,平台券
2026-04-17,P002,290.71,无
2026-04-17,P003,160.69,满减
2026-04-17,P004,144.02,无
2026-04-17,P005,97.51,平台券
2026-04-17,P006,81.17,满减
2026-04-17,P007,279.01,平台券
2026-04-17,P008,427.26,无
2026-04-18,P001,207.82,平台券
2026-04-18,P002,344.5,无
2026-04-18,P003,139.66,平台券
2026-04-18,P004,134.86,无
2026-04-18,P005,87.17,满减
2026-04-18,P006,84.49,无
2026-04-18,P007,248.92,无
2026-04-18,P008,377.5,平台券
2026-04-19,P001,196.1,满减
2026-04-19,P002,352.02,平台券
2026-04-19,P003,140.07,无
2026-04-19,P004,125.44,平台券
2026-04-19,P005,95.65,满减
2026-04-19,P006,86.34,平台券
2026-04-19,P007,224.64,无
2026-04-19,P008,425.78,满减
2026-04-20,P001,190.08,无
2026-04-20,P002,284.7,无
2026-04-20,P003,132.49,无
2026-04-20,P004,119.73,满减
2026-04-20,P005,85.96,无
2026-04-20,P006,76.81,平台券
2026-04-20,P007,252.26,满减
2026-04-20,P008,444.22,平台券
2026-04-21,P001,185.65,平台券
2026-04-21,P002,318.14,平台券
2026-04-21,P003,152.14,平台券
2026-04-21,P004,127.03,无
2026-04-21,P005,92.84,无
2026-04-21,P006,72.35,无
2026-04-21,P007,268.6,无
2026-04-21,P008,422.6,平台券
2026-04-22,P001,172.99,平台券
2026-04-22,P002,285.46,满减
2026-04-22,P003,148.18,无
2026-04-22,P004,124.83,平台券
2026-04-22,P005,90.82,满减
2026-04-22,P006,83.23,平台券
2026-04-22,P007,276.65,无
2026-04-22,P008,397.98,满减
2026-04-23,P001,208.41,满减
2026-04-23,P002,290.05,无
2026-04-23,P003,139.39,平台券
2026-04-23,P004,139.09,平台券
2026-04-23,P005,96.37,平台券
2026-04-23,P006,86.34,平台券
2026-04-23,P007,239.86,平台券
2026-04-23,P008,399.16,平台券
2026-04-24,P001,178.21,平台券
2026-04-24,P002,359.63,平台券
2026-04-24,P003,146.69,满减
2026-04-24,P004,133.02,无
2026-04-24,P005,85.41,无
2026-04-24,P006,88.15,无
2026-04-24,P007,253.85,无
2026-04-24,P008,353.39,无
2026-04-25,P001,199.75,平台券
2026-04-25,P002,307.93,无
2026-04-25,P003,135.36,平台券
2026-04-25,P004,131.26,无
2026-04-25,P005,97.54,满减
2026-04-25,P006,84.02,满减
2026-04-25,P007,231.09,平台券
2026-04-25,P008,404.11,满减
2026-04-26,P001,171.79,平台券
2026-04-26,P002,336.32,满减
2026-04-26,P003,158.73,无
2026-04-26,P004,140.48,无
2026-04-26,P005,94.33,无
2026-04-26,P006,87.94,平台券
2026-04-26,P007,252.77,平台券
2026-04-26,P008,439.09,平台券
2026-04-27,P001,215.27,平台券
2026-04-27,P002,285.24,满减
2026-04-27,P003,161.64,无
2026-04-27,P004,115.01,平台券
2026-04-27,P005,96.55,满减
2026-04-27,P006,76.5,平台券
2026-04-27,P007,228.06,无
2026-04-27,P008,440.86,平台券
2026-04-28,P001,219.19,平台券
2026-04-28,P002,317.87,平台券
2026-04-28,P003,141.04,平台券
2026-04-28,P004,120.65,平台券
2026-04-28,P005,82.79,平台券
2026-04-28,P006,76.8,满减
2026-04-28,P007,251.79,满减
2026-04-28,P008,415.0,无
2026-04-29,P001,199.53,满减
2026-04-29,P002,320.91,平台券
2026-04-29,P003,136.0,无
2026-04-29,P004,142.72,无
2026-04-29,P005,92.57,满减
2026-04-29,P006,70.15,满减
2026-04-29,P007,280.8,满减
2026-04-29,P008,365.07,满减
2026-04-30,P001,199.24,满减
2026-04-30,P002,312.68,平台券
2026-04-30,P003,158.44,平台券
2026-04-30,P004,116.39,无
2026-04-30,P005,80.41,平台券
2026-04-30,P006,73.37,无
2026-04-30,P007,248.98,无
2026-04-30,P008,397.82,满减
2026-05-01,P001,173.27,满减
2026-05-01,P002,321.43,满减
2026-05-01,P003,155.93,满减
2026-05-01,P004,114.85,无
2026-05-01,P005,97.53,无
2026-05-01,P006,74.04,平台券
2026-05-01,P007,284.84,平台券
