customer_id,registered_at,region,member_level
C0001,2026-01-28,华南,普通
C0002,2026-01-20,华北,普通
C0003,2025-11-22,华北,普通
C0004,2025-04-20,华北,银卡
C0005,2026-02-07,西南,银卡
C0006,2026-05-16,西南,银卡
C0007,2025-04-07,华北,金卡
C0008,2026-01-19,西南,普通
C0009,2025-04-20,华北,银卡
C0010,2025-10-13,华南,普通
C0011,2026-01-06,西南,普通
C0012,2025-07-30,华南,普通
C0013,2026-06-19,华东,银卡
C0014,2025-10-08,西南,金卡
C0015,2026-06-17,华东,金卡
C0016,2025-09-15,华北,普通
C0017,2025-03-10,华东,金卡
C0018,2026-04-06,华南,金卡
C0019,2025-04-11,华东,金卡
C0020,2026-05-15,华东,金卡
C0021,2025-11-25,华南,金卡
C0022,2025-08-08,华南,金卡
C0023,2025-06-14,华北,普通
C0024,2026-05-24,西南,金卡
C0025,2025-06-29,西南,普通
C0026,2025-06-05,华东,金卡
C0027,2025-10-08,华东,金卡
C0028,2026-03-01,西南,普通
C0029,2025-09-29,华东,普通
C0030,2025-11-03,西南,银卡
C0031,2026-05-06,华南,普通
C0032,2025-06-30,华东,普通
C0033,2025-12-17,西南,银卡
C0034,2026-05-12,华东,金卡
C0035,2025-08-31,华北,银卡
C0036,2026-02-21,华北,金卡
C0037,2026-04-01,西南,银卡
C0038,2025-04-09,华东,普通
C0039,2025-10-13,西南,普通
C0040,2026-05-03,华北,银卡
C0041,2025-12-05,华北,银卡
C0042,2025-03-03,华南,普通
C0043,2025-09-20,华北,金卡
C0044,2026-01-05,华北,银卡
C0045,2025-06-12,华北,普通
C0046,2025-10-16,华南,普通
C0047,2025-03-21,华北,普通
C0048,2026-04-01,华东,金卡
C0049,2025-12-04,华东,银卡
C0050,2025-10-28,华北,普通
C0051,2025-07-31,华南,普通
C0052,2025-03-08,华东,金卡
C0053,2025-07-29,华南,银卡
C0054,2026-02-15,华东,银卡
C0055,2025-12-01,西南,金卡
C0056,2026-05-02,华北,银卡
C0057,2026-01-07,华北,普通
C0058,2025-06-15,华东,银卡
C0059,2025-06-15,华东,金卡
C0060,2025-07-29,华东,普通
C0061,2025-11-17,华北,金卡
C0062,2025-08-03,华北,银卡
C0063,2026-05-16,西南,普通
C0064,2026-01-11,西南,银卡
C0065,2026-03-24,华东,普通
C0066,2025-04-22,华南,银卡
C0067,2025-04-19,华南,银卡
C0068,2025-06-21,华东,银卡
C0069,2025-07-11,华南,金卡
C0070,2026-01-16,华南,普通
C0071,2026-03-25,华南,银卡
C0072,2025-09-16,华东,金卡
C0073,2026-01-13,华南,普通
C0074,2025-10-06,华东,普通
C0075,2025-08-20,华南,金卡
C0076,2025-12-09,华东,金卡
C0077,2025-03-25,华东,普通
C0078,2026-05-27,华南,普通
C0079,2025-12-07,华东,普通
C0080,2026-03-20,华北,普通
C0081,2026-01-16,华南,普通
C0082,2026-06-15,华南,银卡
C0083,2026-05-16,华北,金卡
C0084,2025-07-14,华北,银卡
C0085,2026-04-13,西南,金卡
C0086,2025-04-26,华东,金卡
C0087,2025-07-16,西南,普通
C0088,2026-01-14,华北,金卡
C0089,2025-08-16,西南,普通
C0090,2025-08-30,华南,金卡
C0091,2025-07-31,西南,普通
C0092,2025-11-01,西南,普通
C0093,2025-08-17,华南,银卡
C0094,2025-10-24,华南,银卡
C0095,2026-04-20,华南,银卡
C0096,2025-10-07,西南,金卡
C0097,2026-02-04,华南,普通
C0098,2025-12-06,华北,银卡
C0099,2025-05-12,华北,普通
C0100,2025-05-05,西南,银卡
C0101,2025-06-21,华东,银卡
C0102,2025-12-17,华南,银卡
C0103,2026-04-16,华南,金卡
C0104,2025-11-06,华东,银卡
C0105,2025-12-29,华南,银卡
C0106,2026-04-09,华南,普通
C0107,2026-03-06,华东,银卡
C0108,2025-06-24,华南,银卡
C0109,2025-03-06,西南,银卡
C0110,2026-03-06,西南,金卡
C0111,2025-07-08,华东,银卡
C0112,2025-12-19,华南,普通
C0113,2025-09-04,西南,金卡
C0114,2025-04-11,西南,银卡
C0115,2025-10-23,华东,普通
C0116,2026-02-23,华东,银卡
C0117,2025-11-16,华东,普通
C0118,2025-05-01,西南,银卡
C0119,2025-09-07,西南,银卡
C0120,2025-03-24,华南,普通
C0121,2025-11-11,西南,普通
C0122,2026-05-14,华北,普通
C0123,2025-11-07,华北,金卡
C0124,2026-06-25,华南,金卡
C0125,2025-07-30,华南,普通
C0126,2025-05-03,华东,普通
C0127,2025-08-25,华东,普通
C0128,2025-07-06,华东,普通
C0129,2025-06-06,华东,银卡
C0130,2026-06-19,华南,银卡
C0131,2025-04-08,华东,普通
C0132,2025-06-13,华北,金卡
C0133,2026-06-09,华北,银卡
C0134,2025-03-26,华南,金卡
C0135,2026-04-01,华南,普通
C0136,2026-04-30,华南,银卡
C0137,2026-01-14,西南,银卡
C0138,2026-06-05,华北,普通
C0139,2025-08-02,华北,普通
C0140,2025-06-09,西南,银卡
C0141,2025-10-16,西南,金卡
C0142,2026-06-24,华南,金卡
C0143,2025-05-03,华南,普通
C0144,2025-06-25,华南,金卡
C0145,2026-02-13,西南,金卡
C0146,2025-05-20,西南,金卡
C0147,2025-05-27,华南,普通
C0148,2026-06-23,华北,普通
C0149,2025-10-18,华北,普通
C0150,2025-06-18,华北,金卡
C0151,2026-05-30,华北,金卡
C0152,2026-06-11,华南,普通
C0153,2025-03-16,西南,银卡
C0154,2025-05-31,华南,普通
C0155,2025-09-02,华东,普通
C0156,2025-10-10,华南,银卡
C0157,2025-12-03,西南,银卡
C0158,2025-09-15,华东,金卡
C0159,2026-03-17,华北,银卡
C0160,2025-08-09,华南,银卡
C0161,2026-03-27,西南,普通
C0162,2026-03-28,华南,普通
C0163,2025-10-19,华东,金卡
C0164,2025-09-06,华北,普通
C0165,2025-05-10,华东,普通
C0166,2026-01-11,华东,金卡
C0167,2026-06-21,华南,普通
C0168,2026-03-23,华南,银卡
C0169,2025-05-12,华北,金卡
C0170,2026-05-09,华东,银卡
C0171,2025-11-10,西南,金卡
C0172,2025-05-18,华南,普通
C0173,2025-08-22,华东,普通
C0174,2025-06-08,西南,普通
C0175,2025-10-16,华南,银卡
C0176,2026-02-10,华北,普通
C0177,2026-06-18,华东,银卡
C0178,2025-10-19,西南,普通
C0179,2025-04-01,华北,银卡
C0180,2025-07-06,华东,银卡
C0181,2025-06-30,西南,金卡
C0182,2026-06-09,西南,银卡
C0183,2025-03-18,华东,普通
C0184,2025-05-07,西南,普通
C0185,2025-04-22,西南,金卡
C0186,2025-06-18,华南,普通
C0187,2025-09-22,西南,普通
C0188,2025-09-18,华东,银卡
C0189,2025-11-04,华北,普通
C0190,2025-08-22,华南,银卡
C0191,2025-03-22,华南,银卡
C0192,2025-08-08,华东,银卡
C0193,2026-02-10,西南,银卡
C0194,2026-03-05,华北,普通
C0195,2026-05-21,华东,普通
C0196,2025-08-04,华东,普通
C0197,2025-07-27,西南,银卡
C0198,2026-04-22,华东,普通
C0199,2025-07-04,华东,金卡
C0200,2026-02-18,西南,普通
C0201,2025-03-02,华北,普通
C0202,2025-09-07,华北,银卡
C0203,2026-03-02,华东,银卡
C0204,2025-05-15,西南,金卡
C0205,2026-02-15,华东,银卡
C0206,2026-04-19,西南,金卡
C0207,2026-01-15,西南,普通
C0208,2025-03-27,华北,普通
C0209,2026-03-28,华东,银卡
C0210,2025-05-09,西南,银卡
C0211,2025-03-10,华南,普通
C0212,2025-09-27,华东,普通
C0213,2025-07-06,华南,普通
C0214,2025-03-16,华东,金卡
C0215,2026-05-04,华北,金卡
C0216,2025-05-22,西南,普通
C0217,2025-06-19,华北,普通
C0218,2025-06-15,华南,普通
C0219,2025-06-01,华东,普通
C0220,2025-09-01,西南,银卡
C0221,2026-03-13,华北,金卡
C0222,2026-02-13,华南,金卡
C0223,2025-12-06,华南,银卡
C0224,2025-03-09,西南,银卡
C0225,2026-06-01,华北,金卡
C0226,2025-12-06,华东,普通
C0227,2026-04-24,华东,金卡
C0228,2025-11-20,西南,普通
C0229,2025-12-06,华北,普通
C0230,2025-05-17,华东,金卡
C0231,2026-04-17,华南,金卡
C0232,2025-12-30,西南,普通
C0233,2026-04-02,华东,普通
C0234,2026-05-17,华南,普通
C0235,2026-06-08,华北,普通
