date,product_id,impressions,clicks,visitors,add_to_cart,checkout,paid_orders,refunded_orders
2026-04-17,P001,4077,472,453,42,27,31,1
2026-04-17,P002,4554,463,414,68,56,29,0
2026-04-17,P003,3160,261,395,66,48,23,1
2026-04-17,P004,3660,385,366,33,24,17,0
2026-04-17,P005,3310,360,331,45,29,17,0
2026-04-17,P006,2907,304,323,45,37,15,1
2026-04-17,P007,1960,206,280,40,30,12,0
2026-04-17,P008,1944,245,216,23,16,9,0
2026-04-18,P001,4072,405,509,80,55,35,0
2026-04-18,P002,5090,643,509,86,60,35,0
2026-04-18,P003,5592,422,466,43,35,26,1
2026-04-18,P004,5064,545,422,64,48,23,0
2026-04-18,P005,3861,279,351,41,29,17,0
2026-04-18,P006,2401,226,343,54,40,15,1
2026-04-18,P007,2850,314,285,42,26,12,1
2026-04-18,P008,2037,264,291,43,34,11,0
2026-04-19,P001,6720,775,560,89,69,39,1
2026-04-19,P002,3563,375,509,90,57,31,0
2026-04-19,P003,4530,474,453,58,43,26,0
2026-04-19,P004,4752,364,432,64,48,26,1
2026-04-19,P005,3249,342,361,56,42,17,1
2026-04-19,P006,2616,274,327,42,27,15,1
2026-04-19,P007,2583,323,287,49,31,10,1
2026-04-19,P008,1856,168,232,34,23,9,1
2026-04-20,P001,3924,274,436,71,48,31,1
2026-04-20,P002,4422,392,402,55,37,26,0
2026-04-20,P003,5076,451,423,61,39,26,0
2026-04-20,P004,2758,307,394,37,25,19,0
2026-04-20,P005,4037,376,367,50,34,19,0
2026-04-20,P006,2727,255,303,45,37,15,1
2026-04-20,P007,3036,240,276,41,30,13,0
2026-04-20,P008,2596,308,236,26,17,10,1
2026-04-21,P001,4928,564,448,47,31,30,1
2026-04-21,P002,4520,365,452,52,34,28,0
2026-04-21,P003,4020,315,402,63,47,26,1
2026-04-21,P004,4169,359,379,40,26,18,1
2026-04-21,P005,2121,158,303,51,36,17,0
2026-04-21,P006,2664,242,333,59,47,13,1
2026-04-21,P007,2268,195,252,23,14,9,0
2026-04-21,P008,2550,209,255,36,26,9,1
2026-04-22,P001,4983,391,453,65,47,33,1
2026-04-22,P002,3280,264,410,67,46,26,0
2026-04-22,P003,4521,340,411,60,37,24,1
2026-04-22,P004,4740,579,395,62,39,21,0
2026-04-22,P005,2366,256,338,32,21,16,0
2026-04-22,P006,2763,343,307,41,28,16,0
2026-04-22,P007,1953,174,279,38,27,11,1
2026-04-22,P008,2048,152,256,29,18,9,1
