date,product_id,rating,topic,comment_count
2026-04-17,P001,4.6,尺码,14
2026-04-17,P002,4.4,尺码,7
2026-04-17,P003,4.8,物流,8
2026-04-17,P004,4.6,质量,18
2026-04-17,P005,4.4,尺码,6
2026-04-17,P006,4.5,尺码,7
2026-04-17,P007,4.4,物流,13
2026-04-17,P008,4.5,尺码,12
2026-04-18,P001,4.2,尺码,18
2026-04-18,P002,4.6,使用体验,12
2026-04-18,P003,4.8,物流,13
2026-04-18,P004,4.4,物流,3
2026-04-18,P005,4.4,质量,5
2026-04-18,P006,4.3,尺码,8
2026-04-18,P007,4.5,物流,15
2026-04-18,P008,3.9,质量,10
2026-04-19,P001,4.7,使用体验,9
2026-04-19,P002,4.5,物流,3
2026-04-19,P003,4.3,尺码,17
2026-04-19,P004,4.3,尺码,10
2026-04-19,P005,4.8,使用体验,14
2026-04-19,P006,4.3,物流,4
2026-04-19,P007,4.5,尺码,18
2026-04-19,P008,3.9,使用体验,8
2026-04-20,P001,4.7,物流,16
2026-04-20,P002,4.9,质量,14
2026-04-20,P003,4.9,质量,9
2026-04-20,P004,4.7,使用体验,18
2026-04-20,P005,4.8,使用体验,9
2026-04-20,P006,4.3,使用体验,4
2026-04-20,P007,4.5,尺码,3
2026-04-20,P008,4.7,物流,9
2026-04-21,P001,4.9,使用体验,2
2026-04-21,P002,4.2,质量,12
2026-04-21,P003,4.7,尺码,5
2026-04-21,P004,4.7,尺码,6
2026-04-21,P005,4.5,质量,7
2026-04-21,P006,4.1,质量,13
2026-04-21,P007,4.9,使用体验,2
2026-04-21,P008,4.0,物流,11
2026-04-22,P001,4.5,使用体验,3
2026-04-22,P002,4.3,使用体验,12
2026-04-22,P003,4.3,质量,3
2026-04-22,P004,4.3,使用体验,11
2026-04-22,P005,4.4,尺码,13
2026-04-22,P006,4.1,质量,14
2026-04-22,P007,4.5,使用体验,2
2026-04-22,P008,4.1,质量,16
2026-04-23,P001,4.5,尺码,13
2026-04-23,P002,4.9,使用体验,5
2026-04-23,P003,4.8,使用体验,11
2026-04-23,P004,4.1,尺码,8
2026-04-23,P005,4.5,使用体验,6
2026-04-23,P006,4.7,质量,4
2026-04-23,P007,4.5,尺码,14
2026-04-23,P008,4.7,质量,10
2026-04-24,P001,4.7,使用体验,15
2026-04-24,P002,4.3,尺码,4
2026-04-24,P003,4.3,尺码,5
2026-04-24,P004,4.9,物流,9
2026-04-24,P005,4.3,尺码,8
2026-04-24,P006,4.1,质量,13
2026-04-24,P007,4.5,尺码,2
2026-04-24,P008,3.9,尺码,7
2026-04-25,P001,4.9,尺码,3
2026-04-25,P002,4.8,尺码,8
2026-04-25,P003,4.7,使用体验,11
2026-04-25,P004,4.8,物流,6
2026-04-25,P005,4.7,质量,11
2026-04-25,P006,4.3,质量,7
2026-04-25,P007,4.4,物流,10
2026-04-25,P008,4.5,使用体验,6
2026-04-26,P001,4.3,质量,12
2026-04-26,P002,4.6,使用体验,4
2026-04-26,P003,4.2,使用体验,14
2026-04-26,P004,4.4,物流,9
2026-04-26,P005,4.2,尺码,18
2026-04-26,P006,4.8,物流,16
2026-04-26,P007,4.9,物流,18
2026-04-26,P008,4.4,质量,2
2026-04-27,P001,4.7,质量,10
2026-04-27,P002,4.9,尺码,13
2026-04-27,P003,4.6,质量,2
2026-04-27,P004,4.4,物流,11
2026-04-27,P005,4.3,尺码,6
2026-04-27,P006,4.3,物流,14
2026-04-27,P007,4.7,尺码,15
2026-04-27,P008,3.9,使用体验,8
2026-04-28,P001,4.2,质量,6
2026-04-28,P002,4.6,物流,2
2026-04-28,P003,4.1,使用体验,14
2026-04-28,P004,4.7,质量,8
2026-04-28,P005,4.2,质量,2
2026-04-28,P006,4.7,质量,14
2026-04-28,P007,4.6,使用体验,15
2026-04-28,P008,4.1,质量,3
2026-04-29,P001,4.3,物流,15
2026-04-29,P002,4.4,物流,7
2026-04-29,P003,4.7,尺码,2
2026-04-29,P004,4.9,尺码,12
2026-04-29,P005,4.6,物流,4
2026-04-29,P006,4.8,质量,17
2026-04-29,P007,4.2,物流,11
2026-04-29,P008,3.6,质量,7
2026-04-30,P001,4.4,质量,14
2026-04-30,P002,4.4,使用体验,15
2026-04-30,P003,4.2,物流,4
2026-04-30,P004,4.7,质量,4
2026-04-30,P005,4.8,质量,6
2026-04-30,P006,4.8,物流,8
2026-04-30,P007,4.5,尺码,8
2026-04-30,P008,3.5,质量,15
2026-05-01,P001,4.8,物流,6
2026-05-01,P002,4.4,尺码,13
2026-05-01,P003,4.5,尺码,12
2026-05-01,P004,4.2,使用体验,18
2026-05-01,P005,4.8,使用体验,8
2026-05-01,P006,4.7,物流,14
2026-05-01,P007,4.5,物流,8
2026-05-01,P008,3.8,尺码,17
2026-05-02,P001,4.4,质量,10
2026-05-02,P002,4.4,尺码,17
2026-05-02,P003,4.5,使用体验,12
2026-05-02,P004,4.9,质量,3
2026-05-02,P005,4.9,使用体验,15
2026-05-02,P006,4.2,物流,17
2026-05-02,P007,4.6,尺码,4
2026-05-02,P008,4.6,物流,5
2026-05-03,P001,4.7,使用体验,16
2026-05-03,P002,4.4,质量,10
2026-05-03,P003,4.4,质量,15
2026-05-03,P004,4.1,质量,7
2026-05-03,P005,4.7,物流,18
2026-05-03,P006,4.9,使用体验,3
2026-05-03,P007,4.6,质量,15
2026-05-03,P008,3.6,质量,7
2026-05-04,P001,4.6,物流,17
2026-05-04,P002,4.4,物流,9
2026-05-04,P003,4.7,质量,12
2026-05-04,P004,4.2,物流,15
2026-05-04,P005,4.4,尺码,2
2026-05-04,P006,4.3,物流,18
2026-05-04,P007,4.4,尺码,12
2026-05-04,P008,3.5,质量,12
2026-05-05,P001,4.5,使用体验,4
2026-05-05,P002,4.9,使用体验,11
2026-05-05,P003,4.2,质量,5
2026-05-05,P004,4.9,尺码,7
2026-05-05,P005,4.8,尺码,15
2026-05-05,P006,4.2,尺码,4
2026-05-05,P007,4.5,物流,5
2026-05-05,P008,4.0,使用体验,11
2026-05-06,P001,4.4,使用体验,6
2026-05-06,P002,4.2,使用体验,5
2026-05-06,P003,4.7,使用体验,2
2026-05-06,P004,4.1,使用体验,16
2026-05-06,P005,4.4,使用体验,12
2026-05-06,P006,4.7,物流,8
2026-05-06,P007,4.8,尺码,9
