date,product_id,impressions,visitors,add_to_cart
2026-04-17,P001,4077,453,42
2026-04-17,P002,4554,414,68
2026-04-17,P003,3160,395,66
2026-04-17,P004,3660,366,33
2026-04-17,P005,3310,331,45
2026-04-17,P006,2907,323,45
2026-04-17,P007,1960,280,40
2026-04-17,P008,1944,216,23
2026-04-18,P001,4072,509,80
2026-04-18,P002,5090,509,86
2026-04-18,P003,5592,466,43
2026-04-18,P004,5064,422,64
2026-04-18,P005,3861,351,41
2026-04-18,P006,2401,343,54
2026-04-18,P007,2850,285,42
2026-04-18,P008,2037,291,43
2026-04-19,P001,6720,560,89
2026-04-19,P002,3563,509,90
2026-04-19,P003,4530,453,58
2026-04-19,P004,4752,432,64
2026-04-19,P005,3249,361,56
2026-04-19,P006,2616,327,42
2026-04-19,P007,2583,287,49
2026-04-19,P008,1856,232,34
2026-04-20,P001,3924,436,71
2026-04-20,P002,4422,402,55
2026-04-20,P003,5076,423,61
2026-04-20,P004,2758,394,37
2026-04-20,P005,4037,367,50
2026-04-20,P006,2727,303,45
2026-04-20,P007,3036,276,41
2026-04-20,P008,2596,236,26
2026-04-21,P001,4928,448,47
2026-04-21,P002,4520,452,52
2026-04-21,P003,4020,402,63
2026-04-21,P004,4169,379,40
2026-04-21,P005,2121,303,51
2026-04-21,P006,2664,333,59
2026-04-21,P007,2268,252,23
2026-04-21,P008,2550,255,36
2026-04-22,P001,4983,453,65
2026-04-22,P002,3280,410,67
2026-04-22,P003,4521,411,60
2026-04-22,P004,4740,395,62
2026-04-22,P005,2366,338,32
2026-04-22,P006,2763,307,41
2026-04-22,P007,1953,279,38
2026-04-22,P008,2048,256,29
2026-04-23,P001,5652,471,71
2026-04-23,P002,5181,471,65
2026-04-23,P003,3200,400,67
2026-04-23,P004,3184,398,44
2026-04-23,P005,2443,349,60
2026-04-23,P006,2826,314,40
2026-04-23,P007,2160,270,24
2026-04-23,P008,2180,218,38
2026-04-24,P001,3297,471,72
2026-04-24,P002,3408,426,44
2026-04-24,P003,5124,427,40
2026-04-24,P004,3033,337,43
2026-04-24,P005,3960,360,46
2026-04-24,P006,2254,322,57
2026-04-24,P007,2959,269,42
2026-04-24,P008,1715,245,25
2026-04-25,P001,6732,561,56
2026-04-25,P002,5070,507,71
2026-04-25,P003,3346,478,72
2026-04-25,P004,3690,410,70
2026-04-25,P005,2555,365,46
2026-04-25,P006,2898,322,53
2026-04-25,P007,3240,324,40
2026-04-25,P008,1936,242,36
2026-04-26,P001,4806,534,65
2026-04-26,P002,3864,483,77
2026-04-26,P003,3960,495,65
2026-04-26,P004,4610,461,76
2026-04-26,P005,2863,409,41
2026-04-26,P006,2848,356,58
2026-04-26,P007,3720,310,39
2026-04-26,P008,3252,271,47
2026-04-27,P001,4338,482,55
2026-04-27,P002,4120,412,47
2026-04-27,P003,4708,428,46
2026-04-27,P004,3830,383,47
2026-04-27,P005,4416,368,56
2026-04-27,P006,3696,308,52
2026-04-27,P007,2717,247,27
2026-04-27,P008,2211,201,24
2026-04-28,P001,4008,501,74
2026-04-28,P002,4598,418,69
2026-04-28,P003,4140,414,73
2026-04-28,P004,3141,349,33
2026-04-28,P005,2513,359,42
2026-04-28,P006,2745,305,30
2026-04-28,P007,2493,277,26
2026-04-28,P008,2460,205,19
2026-04-29,P001,3584,512,63
2026-04-29,P002,5269,479,69
2026-04-29,P003,3970,397,68
2026-04-29,P004,3213,357,42
2026-04-29,P005,4404,367,35
2026-04-29,P006,3972,331,57
2026-04-29,P007,1771,253,37
2026-04-29,P008,2916,243,26
2026-04-30,P001,4640,464,41
2026-04-30,P002,4630,463,46
2026-04-30,P003,5352,446,58
2026-04-30,P004,4136,376,54
2026-04-30,P005,3312,368,33
2026-04-30,P006,2176,272,27
2026-04-30,P007,2016,252,43
2026-04-30,P008,2940,245,39
2026-05-01,P001,5748,479,52
2026-05-01,P002,5268,439,75
2026-05-01,P003,4873,443,57
2026-05-01,P004,3861,351,49
2026-05-01,P005,3357,373,35
2026-05-01,P006,3696,336,46
2026-05-01,P007,2394,266,34
2026-05-01,P008,2475,225,20
2026-05-02,P001,3899,557,57
2026-05-02,P002,5808,484,66
2026-05-02,P003,5544,504,89
2026-05-02,P004,4400,440,50
2026-05-02,P005,4100,410,59
2026-05-02,P006,3000,375,45
2026-05-02,P007,2728,341,54
2026-05-02,P008,3600,300,46
2026-05-03,P001,3829,547,91
2026-05-03,P002,6300,525,60
2026-05-03,P003,4248,472,76
2026-05-03,P004,3312,414,49
2026-05-03,P005,4944,412,61
2026-05-03,P006,4301,391,50
2026-05-03,P007,3756,313,31
2026-05-03,P008,2570,257,44
2026-05-04,P001,5110,511,54
2026-05-04,P002,3276,468,54
2026-05-04,P003,4764,397,57
2026-05-04,P004,3256,407,51
2026-05-04,P005,4512,376,50
2026-05-04,P006,3179,289,36
2026-05-04,P007,2650,265,39
2026-05-04,P008,1904,238,37
2026-05-05,P001,4482,498,50
2026-05-05,P002,3933,437,57
2026-05-05,P003,3224,403,46
2026-05-05,P004,3267,363,41
2026-05-05,P005,3006,334,30
2026-05-05,P006,2745,305,38
2026-05-05,P007,1729,247,35
2026-05-05,P008,1848,264,41
2026-05-06,P001,4112,514,64
2026-05-06,P002,4642,422,65
2026-05-06,P003,3735,415,61
2026-05-06,P004,3256,407,65
2026-05-06,P005,3276,364,35
2026-05-06,P006,3828,319,54
2026-05-06,P007,2349,261,25
2026-05-06,P008,2380,238,32
2026-05-07,P001,3744,468,80
2026-05-07,P002,4540,454,51
2026-05-07,P003,4450,445,67
2026-05-07,P004,2784,348,56
2026-05-07,P005,3231,359,58
2026-05-07,P006,2360,295,50
2026-05-07,P007,3204,267,39
2026-05-07,P008,2070,207,27
2026-05-08,P001,5423,493,47
2026-05-08,P002,4311,479,74
2026-05-08,P003,4300,430,46
2026-05-08,P004,4345,395,61
2026-05-08,P005,4125,375,52
2026-05-08,P006,2988,332,38
2026-05-08,P007,2358,262,33
2026-05-08,P008,1428,204,35
2026-05-09,P001,5229,581,102
2026-05-09,P002,3857,551,62
2026-05-09,P003,5390,490,85
2026-05-09,P004,4994,454,56
2026-05-09,P005,3519,391,59
2026-05-09,P006,3008,376,52
2026-05-09,P007,2051,293,49
2026-05-09,P008,2044,292,35
2026-05-10,P001,4552,569,57
2026-05-10,P002,4626,514,75
2026-05-10,P003,3486,498,78
2026-05-10,P004,3616,452,78
2026-05-10,P005,5244,437,67
2026-05-10,P006,3750,375,61
2026-05-10,P007,2304,288,49
2026-05-10,P008,2344,293,43
2026-05-11,P001,3304,472,43
2026-05-11,P002,3424,428,70
2026-05-11,P003,3143,449,47
2026-05-11,P004,3264,408,68
2026-05-11,P005,3630,330,45
2026-05-11,P006,3360,280,28
2026-05-11,P007,2916,243,26
2026-05-11,P008,2748,229,35
2026-05-12,P001,3680,460,68
2026-05-12,P002,5148,468,75
2026-05-12,P003,5316,443,76
2026-05-12,P004,2534,362,52
2026-05-12,P005,3015,335,49
2026-05-12,P006,2907,323,55
2026-05-12,P007,3336,278,46
2026-05-12,P008,1820,260,38
2026-05-13,P001,4392,488,78
2026-05-13,P002,3861,429,74
2026-05-13,P003,3608,451,66
2026-05-13,P004,3456,384,56
2026-05-13,P005,3015,335,37
2026-05-13,P006,3399,309,49
2026-05-13,P007,2820,282,37
2026-05-13,P008,3025,275,32
2026-05-14,P001,5652,471,49
2026-05-14,P002,3880,485,50
2026-05-14,P003,3208,401,45
2026-05-14,P004,4455,405,55
2026-05-14,P005,3420,342,39
2026-05-14,P006,3575,325,33
2026-05-14,P007,1952,244,32
2026-05-14,P008,2070,230,27
2026-05-15,P001,5302,482,73
2026-05-15,P002,5214,474,52
2026-05-15,P003,4884,407,50
2026-05-15,P004,3184,398,56
2026-05-15,P005,2401,343,59
2026-05-15,P006,3388,308,50
2026-05-15,P007,2093,299,49
2026-05-15,P008,2580,258,27
2026-05-16,P001,4193,599,88
2026-05-16,P002,3605,515,54
2026-05-16,P003,3696,462,81
2026-05-16,P004,4330,433,51
2026-05-16,P005,2709,387,47
2026-05-16,P006,2920,365,62
2026-05-16,P007,2790,310,43
2026-05-16,P008,2520,280,34
2026-05-17,P001,4872,609,55
2026-05-17,P002,6528,544,63
2026-05-17,P003,4500,500,65
2026-05-17,P004,3942,438,47
2026-05-17,P005,4120,412,41
2026-05-17,P006,2681,383,45
2026-05-17,P007,3740,340,30
2026-05-17,P008,1869,267,39
2026-05-18,P001,5797,527,88
2026-05-18,P002,5376,448,51
2026-05-18,P003,2947,421,68
2026-05-18,P004,3610,361,56
2026-05-18,P005,3718,338,60
2026-05-18,P006,3729,339,56
2026-05-18,P007,2637,293,28
2026-05-18,P008,1896,237,41
2026-05-19,P001,4203,467,58
2026-05-19,P002,5640,470,51
2026-05-19,P003,3122,446,52
2026-05-19,P004,3296,412,48
2026-05-19,P005,3384,376,56
2026-05-19,P006,2272,284,36
2026-05-19,P007,3421,311,49
2026-05-19,P008,2673,243,37
2026-05-20,P001,5916,493,69
2026-05-20,P002,4840,440,72
2026-05-20,P003,3272,409,39
2026-05-20,P004,3750,375,51
2026-05-20,P005,2696,337,46
2026-05-20,P006,2002,286,48
2026-05-20,P007,2421,269,47
2026-05-20,P008,2096,262,44
2026-05-21,P001,4626,514,72
2026-05-21,P002,3656,457,59
2026-05-21,P003,3472,434,69
2026-05-21,P004,3600,360,54
2026-05-21,P005,4452,371,49
2026-05-21,P006,2910,291,33
2026-05-21,P007,3504,292,47
2026-05-21,P008,2196,244,41
2026-05-22,P001,4940,494,68
2026-05-22,P002,3960,440,78
2026-05-22,P003,3771,419,72
2026-05-22,P004,3048,381,54
2026-05-22,P005,4692,391,49
2026-05-22,P006,4212,351,56
2026-05-22,P007,1883,269,44
2026-05-22,P008,2380,238,42
